课程名                关键词             分类              描述    

高级财务会计     财务会计	经济学          	《高级财务会计》是研究客观经济环境中的特殊交易或事项会计处理问题的一门会计。它是财务会计的重要构成内容。本课程是审计学、会计学、财务管理等财经类本科专业的专业核心课。通过本课程的学习将会大大提升你的会计理论水平和会计业务的处理能力,同时也能助力你的注册会计考试梦想的实现。

国际金融	         货币金融           经济学           	国际金融主要研究不同国家货币之间的静态和动态关系，探讨跨国的货币金融与经济协调问题，兼具理论性和实务操作性。本课程将国际金融的教学内容凝炼为四部分、共33个核心知识点，各知识点逻辑相连又彼此独立，以教师讲授、情景剧、动画、纪录片等多种形式呈现。

微观经济学        实时需求           经济学 	     	 生活中选择无处不在。面临选择，人们有时难以抉择。什么是最优的选择，以及存在策略互动情况下如何选择？《微观经济学原理》可以提供这些问题的答案。课程从微观视角分析个体最优决策行为，内容主要包括消费者、生产者、政府等选择问题。课程通过图表和微积分等方式建立起描述经济运行的分析框架。

多元统计分析      多元数据           经济学            	本课程是为需要数据分析的学生准备，旨在教授分析多元数据的统计方法，特别是这些分析方法的具体实施及对应的结果解释。主要内容包含多元数据的描述与可视化、多元正态分布、多元统计推断、主成分分析、因子分析、分类分析、判别分析、聚类分析等。在本门课程中运用R作为编程语言。

国际贸易             对外贸易           经济学            	 国际贸易学是对外经济贸易大学国家级重点学科，《国际贸易》课程是国家级精品课程，国际贸易教学团队被教育部评为“国家级优秀教学团队”。《国际贸易》课程见证国际贸易的历史演进，发现国际贸易运行规律，讲授国际贸易政策和规则，解释贸易利益及其决定因素，解读国际贸易的热点问题。欢迎加入课程。

c语言程序设计    编程		 计算机	      	  C语言是古老而长青的编程语言，它具备了现代程序设计的基础要求，它的语法是很多其他编程语言的基础，在系统程序、嵌入式系统等领域依然是无可替代的编程语言，在各类编程语言排行榜上常年占据前两名的位置。 本课程是零基础的编程入门课，是后续的操作系统、编译原理、体系结构等课程的基石。

计算机应用基础   软硬件              计算机	      	   计算机应用基础是一门公共课程，为学员们介绍如何运用计算机进行日常的办公和学习。该课程具体介绍了计算机基础知识、计算机软硬件系统、Word文字编辑、Excel电子表格、PowerPoint电子演示文稿以及计算机网络等多方面的内容，注重培养计算机实用技能和案例教学。

